Activity,Overall Risk Scoring,Under 10,10 to 18,18 to 19,20 to 29,30 to 49 years,50 to 69 years,70 years and older,Reference 1 ,Reference 2,Reference 3,Reference 4,,
Shopping (wine store),2,2,2,2,2,2,2,3,https://www.theatlantic.com/health/archive/2020/03/can-you-get-coronavirus-grocery-store/608659/,https://www.consumerreports.org/food-shopping/how-to-protect-yourself-from-coronavirus-when-grocery-shopping/,https://www.nytimes.com/2020/03/18/us/coronavirus-grocery-shopping.html,https://www.goodhousekeeping.com/health/a31747215/grocery-delivery-coronavirus/,https://www.theatlantic.com/family/archive/2020/03/coronavirus-what-does-social-distancing-mean/607927/,https://www.theatlantic.com/health/archive/2020/03/can-you-get-coronavirus-grocery-store/608659/?utm_term=2020-03-24T18%3A05%3A06&utm_source=facebook&utm_content=edit-promo&utm_medium=social&utm_campaign=the-atlantic&fbclid=IwAR3ebe6Q420rRZpFUOJJbOos7W3-vEsiFHgb-edkdzl8N0OlB9Y8k3BP8T3
Walking alone,1,1,1,1,1,1,1,1,https://www.nytimes.com/2020/03/19/well/move/coronavirus-covid-exercise-outdoors-infection-fitness.html,https://sf.gov/stay-home-except-essential-needs,https://www2.illinois.gov/sites/coronavirus/FAQ/Pages/Stay-At-Home-FAQS.aspx,,,
Walking through apartment building,1,1,1,1,1,1,1,1,https://www.nytimes.com/2020/03/19/well/move/coronavirus-covid-exercise-outdoors-infection-fitness.html,https://sf.gov/stay-home-except-essential-needs,https://www2.illinois.gov/sites/coronavirus/FAQ/Pages/Stay-At-Home-FAQS.aspx,,,
Walking with a friend,2,2,2,2,2,2,2,2,https://www.nytimes.com/2020/03/19/well/move/coronavirus-covid-exercise-outdoors-infection-fitness.html,https://sf.gov/stay-home-except-essential-needs,https://www2.illinois.gov/sites/coronavirus/FAQ/Pages/Stay-At-Home-FAQS.aspx,,,
Walking with a roommate,1,1,1,1,1,1,1,1,https://www.nytimes.com/2020/03/19/well/move/coronavirus-covid-exercise-outdoors-infection-fitness.html,https://sf.gov/stay-home-except-essential-needs,https://www2.illinois.gov/sites/coronavirus/FAQ/Pages/Stay-At-Home-FAQS.aspx,,,
Walking with live-apart partner,2,2,2,2,2,2,2,2,,,,,,
Walking with live-in partner,1,1,1,1,1,1,1,1,https://www.nytimes.com/2020/03/19/well/move/coronavirus-covid-exercise-outdoors-infection-fitness.html,https://sf.gov/stay-home-except-essential-needs,https://www2.illinois.gov/sites/coronavirus/FAQ/Pages/Stay-At-Home-FAQS.aspx,,,
Walking with more than one roommate,1,1,1,1,1,1,1,1,,,,,,
Walking with more than one friend,3,3,3,3,3,3,3,3,,,,,,
Water Fountain,3,3,3,3,3,3,3,3,https://www.nytimes.com/2020/03/19/well/move/coronavirus-covid-exercise-outdoors-infection-fitness.html,https://www.nypl.org/locations/amenities/id/7989,,,,
